IWB
Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,179.279999,179.960007,178.740005,179.960007,176.338303,689800
2020-01-03,178.000000,179.399994,178.000000,178.820007,175.221237,879800
2020-01-06,177.720001,179.479996,177.240005,179.440002,175.828766,672700
2020-01-07,179.139999,179.399994,178.699997,179.009995,175.407394,1196900
2020-01-08,179.070007,180.639999,178.970001,179.899994,176.279480,1046200
2020-01-09,180.960007,181.169998,180.500000,181.080002,177.435760,749400
2020-01-10,181.559998,181.559998,180.360001,180.580002,176.945831,1118300
2020-01-13,181.020004,181.929993,180.759995,181.889999,178.229446,1590600
2020-01-14,181.720001,182.339996,181.369995,181.740005,178.082474,839300
2020-01-15,181.610001,182.610001,181.580002,182.070007,178.405823,558400
2020-01-16,182.919998,183.619995,182.850006,183.600006,179.905060,941500
2020-01-17,184.050003,184.550003,183.679993,184.110001,180.404770,620300
2020-01-21,183.580002,184.279999,183.250000,183.740005,180.042221,1032600
2020-01-22,184.339996,184.789993,183.750000,183.830002,180.130402,2575500
2020-01-23,183.520004,184.149994,182.759995,184.059998,180.355759,847600
2020-01-24,184.539993,184.539993,181.630005,182.369995,178.699799,906900
2020-01-27,179.350006,180.410004,178.949997,179.589996,175.975723,1220700
2020-01-28,180.419998,181.910004,180.139999,181.440002,177.788528,699000
2020-01-29,182.220001,182.339996,181.179993,181.289993,177.641525,581100
2020-01-30,180.080002,181.979996,179.639999,181.850006,178.190277,1167700
2020-01-31,181.529999,181.570007,178.089996,178.639999,175.044846,1368900
2020-02-03,179.369995,181.119995,179.369995,180.110001,176.485275,807000
2020-02-04,182.320007,183.460007,182.149994,182.949997,179.268127,1273000
2020-02-05,184.669998,184.850006,183.639999,184.720001,181.002502,507000
2020-02-06,185.419998,185.669998,184.710007,185.259995,181.531601,714200
2020-02-07,184.649994,185.059998,183.990005,184.339996,180.630127,466800
2020-02-10,183.850006,185.720001,183.850006,185.710007,181.972565,501200
2020-02-11,186.479996,187.039993,185.809998,186.080002,182.335114,479700
2020-02-12,187.059998,187.429993,186.770004,187.300003,183.530579,821500
2020-02-13,186.399994,187.759995,186.369995,187.169998,183.403198,660200
2020-02-14,187.449997,187.610001,186.800003,187.500000,183.726532,1233700
2020-02-18,186.979996,187.330002,186.279999,187.160004,183.393402,832900
2020-02-19,187.729996,188.470001,187.600006,188.059998,184.275269,394600
2020-02-20,187.679993,188.289993,185.559998,187.399994,183.628555,810400
2020-02-21,186.580002,187.020004,184.949997,185.389999,181.659012,1236200
2020-02-24,179.610001,181.089996,178.619995,179.300003,175.691559,1865900
2020-02-25,180.199997,180.460007,173.320007,173.809998,170.312073,2295000
2020-02-26,174.490005,176.710007,172.580002,172.970001,169.488968,2797000
2020-02-27,169.509995,171.929993,165.270004,165.330002,162.002716,3366700
2020-02-28,160.199997,164.399994,158.559998,164.229996,160.924850,4418000
2020-03-02,165.660004,171.449997,163.460007,171.380005,167.930984,3257500
2020-03-03,171.889999,174.070007,165.160004,166.750000,163.394150,1788700
2020-03-04,170.059998,173.639999,168.360001,173.550003,170.057312,1655900
2020-03-05,169.229996,171.029999,166.389999,167.820007,164.442627,1353000
2020-03-06,162.570007,165.520004,160.940002,164.839996,161.522568,3101500
2020-03-09,154.520004,157.250000,151.380005,151.960007,148.901794,1732600
2020-03-10,157.539993,159.509995,151.229996,159.509995,156.299850,3062400
2020-03-11,155.250000,155.889999,149.619995,151.410004,148.362869,2361500
2020-03-12,140.830002,146.979996,133.729996,137.000000,134.242874,3227300
2020-03-13,144.669998,149.639999,137.399994,149.169998,146.167938,2522400
2020-03-16,134.600006,141.179993,130.000000,131.410004,128.765366,2784300
2020-03-17,134.160004,140.119995,129.660004,139.779999,136.966919,2019400
2020-03-18,130.970001,134.669998,124.750000,132.169998,129.510056,1937600
2020-03-19,130.330002,135.240005,126.570000,132.220001,129.559067,2415800
2020-03-20,133.550003,135.000000,125.739998,126.169998,123.630829,2018200
2020-03-23,125.809998,126.279999,120.199997,122.989998,120.514816,2284400
2020-03-24,129.820007,134.720001,129.259995,134.649994,131.940155,2786700
2020-03-25,134.899994,141.059998,131.880005,135.789993,133.796478,2960200
2020-03-26,137.000000,144.520004,137.000000,143.949997,141.836716,1425100
2020-03-27,139.830002,143.580002,137.910004,139.509995,137.461884,2306400
2020-03-30,140.610001,144.190002,139.350006,143.770004,141.659332,2991100
2020-03-31,143.369995,144.660004,140.740005,141.529999,139.452240,1957500
