,Date,Price,Ticker,Quantity,CostBasis,MV,UnrealizedPnL,Cash,Value
0,2022-03-30 13:00:00,15.06,SVIX,10,150.6,150.6,0.0,-150.6,150.6
1,2022-03-30 13:00:00,310.6,VIXY,-10,-3106.0,-3106.0,0.0,3106.0,-3106.0
2,2022-03-30 14:00:00,317.4,VIXY,-20,-6348.0,-6348.0,0.0,6280.0,-6348.0
3,2022-03-30 14:00:00,14.8,SVIX,20,296.0,296.0,0.0,-298.6,296.0
4,2022-03-30 15:00:00,14.67,SVIX,30,440.1,440.1,0.0,-445.3,440.1
5,2022-03-30 15:00:00,318.014,VIXY,-30,-9540.42,-9540.42,0.0,9460.14,-9540.42
6,2022-03-30 16:00:00,14.79,SVIX,40,591.5999999999999,591.5999999999999,0.0,-593.2,591.5999999999999
7,2022-03-30 16:00:00,316.6,VIXY,-40,-12664.0,-12664.0,0.0,12626.14,-12664.0
8,2022-03-30 17:00:00,14.84,SVIX,50,742.0,742.0,0.0,-741.6,742.0
9,2022-03-30 17:00:00,315.34,VIXY,-50,-15766.999999999998,-15766.999999999998,0.0,15779.539999999999,-15766.999999999998
10,2022-03-30 18:00:00,321.4,VIXY,-60,-19284.0,-19284.0,0.0,18993.54,-19284.0
11,2022-03-30 18:00:00,14.63,SVIX,60,877.8000000000001,877.8000000000001,0.0,-887.9000000000001,877.8000000000001
12,2022-03-30 19:00:00,316.0,VIXY,-70,-22120.0,-22120.0,0.0,22153.54,-22120.0
13,2022-03-30 19:00:00,14.79,SVIX,70,1035.3,1035.3,0.0,-1035.8000000000002,1035.3
14,2022-03-30 20:00:00,316.0,VIXY,-80,-25280.0,-25280.0,0.0,25313.54,-25280.0
15,2022-03-30 20:00:00,14.8,SVIX,80,1184.0,1184.0,0.0,-1183.8000000000002,1184.0
16,2022-03-30 22:00:00,315.8,VIXY,-80,-25280.0,-25280.0,16.0,25313.54,-25264.0
17,2022-03-30 22:00:00,14.8,SVIX,80,1184.0,1184.0,0.0,-1183.8000000000002,1184.0
18,2022-03-30 23:00:00,316.6,VIXY,-80,-25280.0,-25280.0,-48.0,25313.54,-25328.0
19,2022-03-30 23:00:00,14.8,SVIX,80,1184.0,1184.0,0.0,-1183.8000000000002,1184.0
20,2022-03-31 08:00:00,317.4,VIXY,-80,-25280.0,-25280.0,-112.0,25313.54,-25392.0
21,2022-03-31 08:00:00,14.8,SVIX,80,1184.0,1184.0,0.0,-1183.8000000000002,1184.0
22,2022-03-31 11:00:00,319.0,VIXY,-80,-25280.0,-25280.0,-240.0,25313.54,-25520.0
23,2022-03-31 11:00:00,14.8,SVIX,80,1184.0,1184.0,0.0,-1183.8000000000002,1184.0
24,2022-03-31 12:00:00,14.71,SVIX,80,1184.0,1184.0,-7.199999999999818,-1183.8000000000002,1176.8000000000002
25,2022-03-31 12:00:00,317.6,VIXY,-80,-25280.0,-25280.0,-128.0,25313.54,-25408.0
26,2022-03-31 13:00:00,14.63,SVIX,80,1184.0,1184.0,-13.599999999999909,-1183.8000000000002,1170.4
27,2022-03-31 13:00:00,320.0,VIXY,-80,-25280.0,-25280.0,-320.0,25313.54,-25600.0
28,2022-03-31 14:00:00,14.73,SVIX,80,1184.0,1184.0,-5.599999999999909,-1183.8000000000002,1178.4
29,2022-03-31 14:00:00,317.8,VIXY,-80,-25280.0,-25280.0,-144.0,25313.54,-25424.0
30,2022-03-31 15:00:00,317.6,VIXY,-80,-25280.0,-25280.0,-128.0,25313.54,-25408.0
31,2022-03-31 15:00:00,14.71,SVIX,80,1184.0,1184.0,-7.199999999999818,-1183.8000000000002,1176.8000000000002
32,2022-03-31 16:00:00,14.51,SVIX,80,1184.0,1184.0,-23.200000000000045,-1183.8000000000002,1160.8
33,2022-03-31 16:00:00,321.9,VIXY,-80,-25280.0,-25280.0,-472.0,25313.54,-25752.0
34,2022-03-31 17:00:00,14.63,SVIX,80,1184.0,1184.0,-13.599999999999909,-1183.8000000000002,1170.4
35,2022-03-31 17:00:00,319.914,VIXY,-80,-25280.0,-25280.0,-313.119999999999,25313.54,-25593.12
36,2022-03-31 18:00:00,14.5573,SVIX,80,1184.0,1184.0,-19.41599999999994,-1183.8000000000002,1164.584
37,2022-03-31 18:00:00,320.8,VIXY,-80,-25280.0,-25280.0,-384.0,25313.54,-25664.0
38,2022-03-31 19:00:00,14.07,SVIX,90,1266.3,1266.3,0.0,-1324.5000000000002,1266.3
39,2022-03-31 19:00:00,331.832,VIXY,-90,-29864.88,-29864.88,0.0,28631.86,-29864.88
40,2022-03-31 20:00:00,14.1,SVIX,90,1266.3,1266.3,2.7000000000000455,-1324.5000000000002,1269.0
41,2022-03-31 20:00:00,328.8,VIXY,-90,-29864.88,-29864.88,272.880000000001,28631.86,-29592.0
42,2022-03-31 21:00:00,330.4,VIXY,-90,-29864.88,-29864.88,128.88000000000466,28631.86,-29735.999999999996
43,2022-03-31 21:00:00,14.1,SVIX,90,1266.3,1266.3,2.7000000000000455,-1324.5000000000002,1269.0
44,2022-03-31 22:00:00,14.1,SVIX,90,1266.3,1266.3,2.7000000000000455,-1324.5000000000002,1269.0
45,2022-03-31 22:00:00,330.4,VIXY,-90,-29864.88,-29864.88,128.88000000000466,28631.86,-29735.999999999996
46,2022-03-31 23:00:00,328.8,VIXY,-90,-29864.88,-29864.88,272.880000000001,28631.86,-29592.0
47,2022-03-31 23:00:00,14.1,SVIX,90,1266.3,1266.3,2.7000000000000455,-1324.5000000000002,1269.0
48,2022-04-01 08:00:00,14.1,SVIX,90,1266.3,1266.3,2.7000000000000455,-1324.5000000000002,1269.0
49,2022-04-01 08:00:00,325.4,VIXY,-90,-29864.88,-29864.88,578.8800000000047,28631.86,-29285.999999999996
50,2022-04-01 09:00:00,14.1,SVIX,90,1266.3,1266.3,2.7000000000000455,-1324.5000000000002,1269.0
51,2022-04-01 09:00:00,324.2,VIXY,-90,-29864.88,-29864.88,686.880000000001,28631.86,-29178.0
52,2022-04-01 11:00:00,14.26,SVIX,90,1266.3,1266.3,17.100000000000136,-1324.5000000000002,1283.4
53,2022-04-01 11:00:00,323.6,VIXY,-90,-29864.88,-29864.88,740.8799999999974,28631.86,-29124.000000000004
54,2022-04-01 12:00:00,325.8,VIXY,-90,-29864.88,-29864.88,542.880000000001,28631.86,-29322.0
55,2022-04-01 12:00:00,14.4,SVIX,90,1266.3,1266.3,29.700000000000045,-1324.5000000000002,1296.0
56,2022-04-01 13:00:00,324.8,VIXY,-90,-29864.88,-29864.88,632.880000000001,28631.86,-29232.0
57,2022-04-01 13:00:00,14.35,SVIX,90,1266.3,1266.3,25.200000000000045,-1324.5000000000002,1291.5
58,2022-04-01 14:00:00,14.38,SVIX,90,1266.3,1266.3,27.90000000000009,-1324.5000000000002,1294.2
59,2022-04-01 14:00:00,325.0,VIXY,-90,-29864.88,-29864.88,614.880000000001,28631.86,-29250.0
60,2022-04-01 15:00:00,330.8,VIXY,-90,-29864.88,-29864.88,92.88000000000102,28631.86,-29772.0
61,2022-04-01 15:00:00,14.12,SVIX,90,1266.3,1266.3,4.5,-1324.5000000000002,1270.8
62,2022-04-01 16:00:00,330.6,VIXY,-90,-29864.88,-29864.88,110.87999999999738,28631.86,-29754.000000000004
63,2022-04-01 16:00:00,14.15,SVIX,90,1266.3,1266.3,7.2000000000000455,-1324.5000000000002,1273.5
64,2022-04-01 17:00:00,14.28,SVIX,90,1266.3,1266.3,18.90000000000009,-1324.5000000000002,1285.2
65,2022-04-01 17:00:00,327.002,VIXY,-90,-29864.88,-29864.88,434.7000000000007,28631.86,-29430.18
66,2022-04-01 18:00:00,321.812,VIXY,-90,-29864.88,-29864.88,901.7999999999993,28631.86,-28963.08
67,2022-04-01 18:00:00,14.51,SVIX,90,1266.3,1266.3,39.600000000000136,-1324.5000000000002,1305.9
68,2022-04-01 19:00:00,319.6,VIXY,-90,-29864.88,-29864.88,1100.8799999999974,28631.86,-28764.000000000004
69,2022-04-01 19:00:00,14.61,SVIX,90,1266.3,1266.3,48.59999999999991,-1324.5000000000002,1314.8999999999999
70,2022-04-01 20:00:00,321.8,VIXY,-90,-29864.88,-29864.88,902.880000000001,28631.86,-28962.0
71,2022-04-01 20:00:00,14.61,SVIX,90,1266.3,1266.3,48.59999999999991,-1324.5000000000002,1314.8999999999999
72,2022-04-01 23:00:00,320.8,VIXY,-90,-29864.88,-29864.88,992.880000000001,28631.86,-28872.0
73,2022-04-01 23:00:00,14.61,SVIX,90,1266.3,1266.3,48.59999999999991,-1324.5000000000002,1314.8999999999999
74,2022-04-04 09:00:00,318.0,VIXY,-90,-29864.88,-29864.88,1244.880000000001,28631.86,-28620.0
75,2022-04-04 09:00:00,14.61,SVIX,90,1266.3,1266.3,48.59999999999991,-1324.5000000000002,1314.8999999999999
76,2022-04-04 10:00:00,14.61,SVIX,90,1266.3,1266.3,48.59999999999991,-1324.5000000000002,1314.8999999999999
77,2022-04-04 10:00:00,318.0,VIXY,-90,-29864.88,-29864.88,1244.880000000001,28631.86,-28620.0
78,2022-04-04 11:00:00,316.8,VIXY,-90,-29864.88,-29864.88,1352.880000000001,28631.86,-28512.0
79,2022-04-04 11:00:00,14.61,SVIX,90,1266.3,1266.3,48.59999999999991,-1324.5000000000002,1314.8999999999999
80,2022-04-04 12:00:00,318.8,VIXY,-90,-29864.88,-29864.88,1172.880000000001,28631.86,-28692.0
81,2022-04-04 12:00:00,14.61,SVIX,90,1266.3,1266.3,48.59999999999991,-1324.5000000000002,1314.8999999999999
82,2022-04-04 13:00:00,14.945,SVIX,90,1266.3,1266.3,78.75,-1324.5000000000002,1345.05
83,2022-04-04 13:00:00,311.9,VIXY,-90,-29864.88,-29864.88,1793.8800000000047,28631.86,-28070.999999999996
84,2022-04-04 14:00:00,14.88,SVIX,90,1266.3,1266.3,72.90000000000009,-1324.5000000000002,1339.2
