ticker,capped_weight_pct,date,is_rebalancing
JPM,10.596148145420624,2024-03-15,True
V,9.69479545639132,2024-03-15,True
MA,8.599248768178565,2024-03-15,True
BAC,5.384826780470912,2024-03-15,True
WFC,3.734624201255298,2024-03-15,True
SPGI,2.6398575285865014,2024-03-15,True
AXP,2.420469787391686,2024-03-15,True
BLK,2.4165396789446887,2024-03-15,True
SCHW,2.358811936341039,2024-03-15,True
PGR,2.3173387827430423,2024-03-15,True
GS,2.2949488334357113,2024-03-15,True
C,2.1635466798289595,2024-03-15,True
MS,2.1190633673682746,2024-03-15,True
MMC,2.0398763417466976,2024-03-15,True
CB,1.8841726588244543,2024-03-15,True
BX,1.8335629643664433,2024-03-15,True
FI,1.6775247524403003,2024-03-15,True
ICE,1.6060016226050138,2024-03-15,True
CME,1.595854749337143,2024-03-15,True
USB,1.35367488542564,2024-03-15,True
AON,1.3418724130139958,2024-03-15,True
KKR,1.3403891768131715,2024-03-15,True
MCO,1.3140424734579523,2024-03-15,True
AJG,1.2743534867875632,2024-03-15,True
PNC,1.194406441646643,2024-03-15,True
PYPL,1.1407546622896685,2024-03-15,True
COF,1.0231710861271197,2024-03-15,True
TRV,1.0065675579602904,2024-03-15,True
COIN,1.0051501266604284,2024-03-15,True
TFC,0.9853532833783447,2024-03-15,True
APO,0.9833255817166046,2024-03-15,True
AFL,0.8912249816996385,2024-03-15,True
AIG,0.8695385176593903,2024-03-15,True
MSCI,0.8311447929727455,2024-03-15,True
ALL,0.827433866756898,2024-03-15,True
BK,0.8059301032821968,2024-03-15,True
MET,0.8034381040524863,2024-03-15,True
AMP,0.7982067781735205,2024-03-15,True
PRU,0.7825935839302859,2024-03-15,True
FIS,0.7398585498416641,2024-03-15,True
ACGL,0.647897010858966,2024-03-15,True
GPN,0.6276875408634577,2024-03-15,True
NDAQ,0.5998721268937264,2024-03-15,True
HIG,0.5573759607144618,2024-03-15,True
WTW,0.5495265067421742,2024-03-15,True
TROW,0.5097295963419141,2024-03-15,True
FITB,0.4840505272376547,2024-03-15,True
MTB,0.4578371821383865,2024-03-15,True
RJF,0.4360845140519278,2024-03-15,True
BRO,0.42205478756894693,2024-03-15,True
HBAN,0.39653623462156445,2024-03-15,True
CBOE,0.3961685919683083,2024-03-15,True
STT,0.391457834229945,2024-03-15,True
CINF,0.3653536974589573,2024-03-15,True
PFG,0.36392576282561334,2024-03-15,True
FDS,0.3556993156922701,2024-03-15,True
RF,0.3499007773948402,2024-03-15,True
WRB,0.3393605869921115,2024-03-15,True
KEY,0.33099289058676434,2024-03-15,True
SYF,0.316352808205735,2024-03-15,True
