ticker,date,shares_outstanding,float_shares,iwf
AFL,2023-03-02,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-16,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-23,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-29,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-30,540644992.0,535871132.0,0.9911700652542066
AFL,2023-03-31,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-04,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-18,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-19,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-25,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-04-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-01,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-02,540644992.0,535871132.0,0.9911700652542066
AFL,2023-05-03,540644992.0,535871132.0,0.9911700652542066
