,Date,Price,Ticker,Quantity,CostBasis,MV,UnrealizedPnL,Value
0,2022-05-18 09:30:00-04:00,250.6199951171875,TSLA,,,,,
1,2022-05-18 09:30:00-04:00,309.45001220703125,GS,,,,,
2,2022-05-18 10:30:00-04:00,245.18666076660156,TSLA,,,,,
3,2022-05-18 10:30:00-04:00,308.75,GS,,,,,
4,2022-05-18 11:30:00-04:00,238.42999267578125,TSLA,,,,,
5,2022-05-18 11:30:00-04:00,308.82000732421875,GS,,,,,
6,2022-05-18 12:30:00-04:00,235.76666259765625,TSLA,,,,,
7,2022-05-18 12:30:00-04:00,309.0899963378906,GS,,,,,
8,2022-05-18 13:30:00-04:00,235.64666748046875,TSLA,,,,,
9,2022-05-18 13:30:00-04:00,308.6499938964844,GS,,,,,
10,2022-05-18 14:30:00-04:00,234.56666564941406,TSLA,,,,,
11,2022-05-18 14:30:00-04:00,305.1099853515625,GS,,,,,
12,2022-05-18 15:30:00-04:00,306.8800048828125,GS,,,,,
13,2022-05-18 15:30:00-04:00,236.5833282470703,TSLA,,,,,
14,2022-05-19 09:30:00-04:00,306.5199890136719,GS,,,,,
15,2022-05-19 09:30:00-04:00,234.88665771484375,TSLA,,,,,
16,2022-05-19 10:30:00-04:00,305.74200439453125,GS,,,,,
17,2022-05-19 10:30:00-04:00,239.59002685546875,TSLA,,,,,
18,2022-05-19 11:30:00-04:00,307.67999267578125,GS,,,,,
19,2022-05-19 11:30:00-04:00,240.97889709472656,TSLA,,,,,
20,2022-05-19 12:30:00-04:00,307.3800048828125,GS,,,,,
21,2022-05-19 12:30:00-04:00,235.89666748046875,TSLA,,,,,
22,2022-05-19 13:30:00-04:00,237.9066619873047,TSLA,,,,,
23,2022-05-19 13:30:00-04:00,308.5400085449219,GS,,,,,
24,2022-05-19 14:30:00-04:00,307.2001037597656,GS,,,,,
25,2022-05-19 14:30:00-04:00,236.6666717529297,TSLA,,,,,
26,2022-05-19 15:30:00-04:00,307.9599914550781,GS,,,,,
27,2022-05-19 15:30:00-04:00,236.55999755859375,TSLA,,,,,
28,2022-05-20 09:30:00-04:00,229.7583465576172,TSLA,,,,,
29,2022-05-20 09:30:00-04:00,309.8900146484375,GS,,,,,
