,BasePrice.gz,BasePrice.md5,FullCB.gz,FullCB.md5,FullEquities.gz,FullEquities.md5,Master.gz,Master.md5,FullEquities.bBddd491,FullEquities.2AaDe274,FullEquities.9BddB87d,FullEquities.c235B05b,FullEquities.B9236f3A,021.1.pcap.gz,032.1.pcap.gz,051.1.pcap.gz,052.1.pcap.gz,053.1.pcap.gz,054.1.pcap.gz,055.1.pcap.gz,056.1.pcap.gz,057.1.pcap.gz,058.1.pcap.gz,059.1.pcap.gz,060.1.pcap.gz,061.1.pcap.gz,062.1.pcap.gz,063.1.pcap.gz,064.1.pcap.gz,065.1.pcap.gz,066.1.pcap.gz,067.1.pcap.gz,068.1.pcap.gz,090.1.pcap.gz,021.2.pcap.gz,032.2.pcap.gz,051.2.pcap.gz,052.2.pcap.gz,053.2.pcap.gz,054.2.pcap.gz,055.2.pcap.gz,056.2.pcap.gz,057.2.pcap.gz,058.2.pcap.gz,059.2.pcap.gz,060.2.pcap.gz,061.2.pcap.gz,062.2.pcap.gz,063.2.pcap.gz,064.2.pcap.gz,065.2.pcap.gz,066.2.pcap.gz,067.2.pcap.gz,068.2.pcap.gz,090.2.pcap.gz
2010/01/04,-1.6327346951032673,0.0,-0.30644475905587276,0.0,-1.540961056005171,0.0,-1.6356239707596265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/05,-1.6361337089885826,0.0,0.21121693088918314,0.0,-1.4164525015830052,0.0,-1.6390135865206044,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/06,-1.6337389492057468,0.0,0.6805528441393793,0.0,-1.4256987396379182,0.0,-1.6379005783602834,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/07,-1.6538240312553367,0.0,0.7222840585560493,0.0,-1.41057883418784,0.0,-1.6379005783602834,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/08,-1.623078405656349,0.0,1.5302438754555858,0.0,-1.3866341281415957,0.0,-1.6390135865206044,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/12,-1.6251641641768835,0.0,0.7803757408469087,0.0,-1.394659242452404,0.0,-1.6390135865206044,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/13,-1.6254731654391847,0.0,0.6070395031875447,0.0,-1.3880615979040456,0.0,-1.638710038840517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/14,-1.6300309340581303,0.0,0.27704806474264043,0.0,-1.4383366844637095,0.0,-1.6390135865206044,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/15,-1.6233874069186505,0.0,0.36054484025451244,0.0,-1.4058564793065096,0.0,-1.6390135865206044,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/18,-1.6262456685949382,0.0,-0.0490965457066531,0.0,-1.4594444713575354,0.0,-1.635067466679466,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/19,-1.6362109593041578,0.0,0.01374642711449943,0.0,-1.4698048997501427,0.0,-1.6391653603606482,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/20,-1.6395327228738978,0.0,-0.01570012528047312,0.0,-1.4445370887623596,0.0,-1.6392665429206774,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/21,-1.6318076913163633,0.0,-0.1201254769113225,0.0,-1.408952819627811,0.0,-1.638710038840517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/22,-1.6197566420866092,0.0,-0.02782450280235334,0.0,-1.3854310605690736,0.0,-1.6404807336410276,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/25,-1.622151401869445,0.0,-0.06719724529314285,0.0,-1.4497612799168367,0.0,-1.6395700906007649,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/26,-1.6274816736441438,0.0,0.023924492852886132,0.0,-1.414918340058077,0.0,-1.6481706082032463,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/27,-1.6497297645298434,0.0,-0.13239869004017576,0.0,-1.4265030768231515,0.0,-1.6447304011622537,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/28,-1.6537467809397615,0.0,-0.03693782150624064,0.0,-1.4122736024130291,0.0,-1.6520155454843555,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/01/29,-1.6499615154765694,0.0,-0.08457666463045556,0.0,-1.3975021475128406,0.0,-1.648828294843436,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/01,-1.621687899975993,0.0,-0.33709344519947365,0.0,-1.3891994753135892,0.0,-1.6519649542043409,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/02,-1.6472577544314324,0.0,-0.3109785206221283,0.0,-1.4180709684992334,0.0,-1.652217910604414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/03,-1.6403052260296513,0.0,-0.09145744922974736,0.0,-1.4052711013562182,0.0,-1.6537356490048518,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/04,-1.6332754473122948,0.0,-0.23507236106588097,0.0,-1.3996727290479851,0.0,-1.6542921530850123,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/05,-1.6229239050251985,0.0,-0.2488110324787764,0.0,-1.385049788210055,0.0,-1.652470867004487,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/08,-1.652742526837282,0.0,-0.3906513659240777,0.0,-1.432802323931379,0.0,-1.6532803274847203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/09,-1.6434724889682404,0.0,-0.3158786467593943,0.0,-1.4269076946709305,0.0,-1.6541403792449685,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/10,-1.6689650931081046,0.0,-0.26257260167736,0.0,-1.444735402357411,0.0,-1.6516108152442388,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/12,-1.6433179883370896,0.0,-0.2925572520360043,0.0,-1.447135190620168,0.0,-1.6512566762841365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/15,-1.6384512184558429,0.0,-0.3516106413257665,0.0,-1.4987670452093738,0.0,-1.650700172203976,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/16,-1.6552917872512685,0.0,-0.3179623452570168,0.0,-1.519243431425274,0.0,-1.6498401204437279,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/17,-1.6425454851813364,0.0,-0.23475179206624674,0.0,-1.4603688638113363,0.0,-1.6516108152442388,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/18,-1.6457127481199254,0.0,-0.25790145339697557,0.0,-1.4683832607662732,0.0,-1.650700172203976,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/19,-1.6573002954562275,0.0,-0.3432186028710562,0.0,-1.4364579864239375,0.0,-1.6515096326842096,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/22,-1.6580727986119808,0.0,-0.3295829714937575,0.0,-1.4481262186256512,0.0,-1.6544439269250562,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/23,-1.6481847582183367,0.0,-0.33653244945011374,0.0,-1.4469510609272709,0.0,-1.6544439269250562,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/02/24,-1.6372924637222128,0.0,-0.33252533695468595,0.0,-1.4341896837843815,0.0,-1.6428585238017137,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
