Symbol
MARA
UMAC
SOFI
IREN
CLSK
NU
RIOT
BAC
WULF
WFC
HOOD
COIN
HUT
CIFR
XP
HBAN
C
OWL
PSLV
TFC
KEY
MS
JPM
PYPL
BRK-B
RF
V
UPST
USB
VLY
ARCC
KKR
AAM
SCHW
FHN
ONB
OBDC
BEN
WU
MET
BGC
FITB
FLG
BK
UWMC
CRBG
PGR
NDAQ
OXLC
RKT
AIG
SYF
ICE
INTR
BX
GNW
ALLY
IVZ
CME
CFG
LMND
MA
STT
APO
WT
EQH
CG
AXP
DXYZ
BANC
PNC
COF
SLM
ALL
BRKH
GS
SPGI
AJG
CBOE
SEIC
JEF
TD
GSBD
ARES
PDI
ASB
AFL
MMC
FSK
TROW
TRV
CMA
WRB
RJF
CLM
FNB
PNNT
JHG
NEA
NAVI
WTW
HIG
GBDC
LNC
OZK
PRU
MTG
ACGL
BXSL
COLB
ZION
DNB
ECC
DFS
RILY
VIRT
CB
AXS
TRU
TPG
RDN
FAF
FIBK
CVBF
BRO
CADE
FBP
IBKR
UNM
EXG
LAZ
GAB
RYAN
ORI
GOF
FHB
HTGC
BUR
NAD
LC
HOMB
FULT
SPNT
OCSL
EBC
FIHL
PAX
PFG
BIGZ
SNV
AON
WBS
ROOT
JPC
NTRS
PX
PFLT
MTB
EARN
ACP
STEP
MCO
RY
AUB
USA
SSB
JXN
NVG
EWBC
OMF
NZF
XFLT
YHNA
CFFN
PTY
UCB
BGY
KINS
OPFI
DNP
ABL
FNF
HYT
CBSH
PHK
WAL
BLK
CRF
VOYA
BKU
NAC
PFS
ESNT
TW
MC
IGR
MUI
IBTX
MBI
TRIN
